CREATE TABLE ch1ck3n_menu(name VARCHAR NOT NULL, category VARCHAR NOT NULL, in_stock BOOL NOT NULL, in_menu BOOL NOT NULL, base_price NUMERIC NOT NULL, compulsory_options JSON, optional_options JSON, image_url VARCHAR, menu_version INTEGER)

stall_id;name;in_stock;in_menu;base_price;compulsory_options;optional_options;image_url
8;Choc & Nuts Waffle;TRUE;TRUE;1.6;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Cream Cheese & Chocolate Chips Waffle;TRUE;TRUE;2;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Cookies & Cream Waffle;TRUE;TRUE;2;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Milk Cereal Waffle;TRUE;TRUE;2;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Ham & Cheese Waffle;TRUE;TRUE;2.2;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Chocolate Banana Waffle;TRUE;TRUE;1.9;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Nutella Banana Waffle;TRUE;TRUE;2.3;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Tuna Mayo Waffle;TRUE;TRUE;2.2;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Durian Waffle;TRUE;TRUE;2;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Butter Salt Corn Cup;TRUE;TRUE;1.6;{};{};
8;Chocolate Salt Corn Cup;TRUE;TRUE;1.9;{};{};
8;Butter Salt Milk Corn Cup;TRUE;TRUE;1.9;{};{};
8;Takoyaki (3);TRUE;TRUE;2;{};{};
8;Takoyaki (4);TRUE;TRUE;2.5;{};{};
8;Octopus Takoyaki;TRUE;TRUE;;{};{};
8;Ham Takoyaki;TRUE;TRUE;;{};{};
8;Crabstick Takoyaki;TRUE;TRUE;;{};{};
8;Prawn Takoyaki;TRUE;TRUE;;{};{};
9;Lontong;TRUE;TRUE;3;{};{};
9;Mee Rebus;TRUE;TRUE;3;{};{};
9;Mee Soto;TRUE;TRUE;3;{};{};
9;Mee Bakso;TRUE;TRUE;3;{};{};
9;Mee Siam;TRUE;TRUE;3;{};{};
9;Chicken Porridge;TRUE;TRUE;2.5;{};{};
9;Bee Hoon + Egg;TRUE;TRUE;2.5;{};{};
9;Fried Rice + Egg;TRUE;TRUE;2.5;{};{};
9;Nasi Ayam Penyet;TRUE;TRUE;4.5;{};{};
9;Nasi Lemak Banana Leaf;TRUE;TRUE;2;{};{};
9;Rice + 2 Meat + 2 Veg/Side;TRUE;TRUE;4.5;{};{};
9;Rice + 1 Meat + 2 Veg/Side;TRUE;TRUE;3.5;{};{};
9;Rice + 2 Meat + 1 Veg//Side;TRUE;TRUE;4;{};{};
9;Nasi Padang Fish;TRUE;TRUE;2.5;{};{};
9;Nasi Padang Sliced Fish;TRUE;TRUE;2;{};{};
9;Nasi Padang Chicken;TRUE;TRUE;1.8;{};{};
9;Nasi Padang Beef;TRUE;TRUE;2.5;{};{};
9;Nasi Padang Mutton;TRUE;TRUE;2.8;{};{};
9;Nasi Padang Sotong;TRUE;TRUE;2;{};{};
9;Nasi Padang Prawn;TRUE;TRUE;2.5;{};{};
9;Nasi Padang Sardine;TRUE;TRUE;2;{};{};
9;Vegetable;TRUE;TRUE;0.7;{};{};
9;Egg/Tau Foo;TRUE;TRUE;0.7;{};{};
9;Fish Cake/Ball;TRUE;TRUE;0.7;{};{};
9;Sausage/Bagedil;TRUE;TRUE;0.7;{};{};
9;Anchovies;TRUE;TRUE;1;{};{};
9;Chicken Parts;TRUE;TRUE;1;{};{};
9;Sambal Goreng;TRUE;TRUE;1;{};{};
9;Terung Belado;TRUE;TRUE;1;{};{};
9;Curry Puff (3);TRUE;TRUE;1;{};{};
9;Sambosa (3);TRUE;TRUE;1;{};{};
9;Popiah (3);TRUE;TRUE;1;{};{};
9;Doughnut (3);TRUE;TRUE;1;{};{};
9;Green Bean (3);TRUE;TRUE;1;{};{};
9;Goreng Pisang (3);TRUE;TRUE;1;{};{};
9;Curry Puff;TRUE;TRUE;0.4;{};{};
9;Sambosa;TRUE;TRUE;0.4;{};{};
9;Popiah;TRUE;TRUE;0.4;{};{};
9;Doughnut;TRUE;TRUE;0.4;{};{};
9;Green Bean;TRUE;TRUE;0.4;{};{};
9;Goreng Pisang;TRUE;TRUE;0.4;{};{};
9;Nyonya Kueh;TRUE;TRUE;0.4;{};{};
