location_id;stall_id;id;name;in_stock;in_menu;school_price;public_price;category;kcal;compulsory_options;optional_options;tags;image_url
1;3;48;Coleslaw;TRUE;TRUE;2;2.5;3;;{};{};;
1;3;49;French Fries;TRUE;TRUE;2;2.5;3;;{};{};;
1;3;50;Cheese Fries;TRUE;TRUE;3;3.5;3;;{};{};;
1;3;51;Mushroom Soup;TRUE;TRUE;2.5;2.8;3;;{};{};;
1;3;52;Egg;TRUE;TRUE;0.6;0.6;3;;{};{};;
1;3;53;Sausage Combo;TRUE;TRUE;3;3;3;;{};{};;
1;3;54;Onion Rings (10);TRUE;TRUE;3;3.5;3;;{};{};;
1;3;55;Nuggets (6);TRUE;TRUE;3;3.5;3;;{};{};;
1;3;56;Spaghetti Breaded Fish;TRUE;TRUE;1.5;1.5;3;;{};{};;
1;5;1;Hotplate Saba Fish Set;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;2;Hotplate Chicken Set;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;3;Hotplate Beef Set;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;4;Hotplate Saba Fish + Chicken Set;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;5;Bibimbap;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;6;Beef Ramen;TRUE;TRUE;4.5;5.5;1;;{};{};;
1;5;7;Kimchi Rmaen;TRUE;TRUE;4.5;5;1;;{};{};;
1;5;8;Dumpling Ramen;TRUE;TRUE;4.5;5;1;;{};{};;
1;5;9;Kimchi Soup;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;10;Fish Fillet Ramen;TRUE;TRUE;4.5;5;1;;{};{};;
1;5;11;Fried Rice;TRUE;TRUE;4.5;5;1;;{};{};;
1;5;12;Fry Ebi + Chicken Katsu Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;13;Chicken Katsu + Scallop Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;14;Fish Fillet + Chicken Katsu Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;15;Saba Fish + Chicken Katsu Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;16;Salmon Fish + Chicken Katsu Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;17;Salmon Fish + Prawn Ball Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;18;Fish Fillet + Fry Ebi Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;19;Chicken Katsu Set;TRUE;TRUE;4.5;5;1;;{};{};;
1;5;20;Chicken Katsu Japanese Curry Rice;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;21;Chicken Katsu + Prawn Ball Bento;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;5;22;Fish Fillet Rice;TRUE;TRUE;2.5;999;1;;{};{};;
1;5;23;Vegetable Ramen;TRUE;TRUE;2.5;999;1;;{};{};;
1;7;1;Watermelon;TRUE;TRUE;0.8;0.9;6;50;{};{};;
1;7;2;Papaya;TRUE;TRUE;0.8;0.9;6;50;{};{};;
1;7;3;Pineapple;TRUE;TRUE;0.8;0.9;6;50;{};{};;
1;7;4;Honeydew;TRUE;TRUE;0.8;0.9;6;75;{};{};;
1;7;5;Rockmelon;TRUE;TRUE;1;1.1;6;75;{};{};;
1;7;6;Orange (Peeled);TRUE;TRUE;0.9;1;6;50;{};{};;
1;7;7;Apple (Sliced);TRUE;TRUE;9;1;6;25;{};{};;
1;7;8;Apple (Whole);TRUE;TRUE;1;1.1;6;75;{};{};;
1;7;9;Banana;TRUE;TRUE;0.7;0.8;6;100;{};{};;
1;7;10;Banana (Large);TRUE;TRUE;0.9;1;6;150;{};{};;
1;7;11;Guava;TRUE;TRUE;1;1.1;6;50;{};{};;
1;7;12;Pear;TRUE;TRUE;0.9;1;6;100;{};{};;
1;7;13;Kiwi;TRUE;TRUE;1.2;1.3;6;50;{};{};;
1;7;14;Dragonfruit (White);TRUE;TRUE;1;1.1;6;50;{};{};;
1;7;15;Dragonfruit (Red);TRUE;TRUE;1;1.1;6;50;{};{};;
1;7;16;Agar Agar;TRUE;TRUE;0.9;1;5;100;{};{};;
1;7;17;Mixed Fruit Cup;TRUE;TRUE;1.8;2;6;100;{};{};;
1;7;18;ABC Fruit Juice;TRUE;TRUE;2;2.2;4;48;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;19;Watermelon Juice;TRUE;TRUE;1.6;1.8;4;55;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;20;Papaya Juice;TRUE;TRUE;1.4;1.5;4;53;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;21;Pineapple Juice;TRUE;TRUE;1.4;1.5;4;78;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;22;Honeydew Juice;TRUE;TRUE;1.4;1.5;4;95;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;23;Orange Juice;TRUE;TRUE;1.8;2;4;83;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;24;Apple Juice;TRUE;TRUE;1.8;2;4;100;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;25;Kiwi Juice;TRUE;TRUE;1.6;1.8;4;98;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;26;Pear Juice;TRUE;TRUE;1.6;1.8;4;100;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;27;Carrot Juice;TRUE;TRUE;1.8;2;4;55;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
