location_id,stall_id,id,name,in_stock,school_price,public_price,category,kcal,compulsory_option_1,compulsory_option_2,modifier_1,modifier_1_cost,modifier_2,modifier_2_cost,upsize_1_cost,upsize_2_cost,tags,image_url
1,3,53,Sausage Combo,,3,3,3,,,,,,,,,,,
1,3,54,Onion Rings (10),,3,3.5,3,,,,,,,,,,,
1,3,55,Nuggets (6),,3,3.5,3,,,,,,,,,,,
1,3,56,Spaghetti Breaded Fish,,1.5,1.5,3,,,,,,,,,,,
1,5,1,Hotplate Saba Fish Set,,4.9,5.5,1,,,,,,,,,,,
1,5,2,Hotplate Chicken Set,,4.9,5.5,1,,,,,,,,,,,
1,5,3,Hotplate Beef Set,,4.9,5.5,1,,,,,,,,,,,
1,5,4,Hotplate Saba Fish + Chicken Set,,4.9,5.5,1,,,,,,,,,,,
1,5,5,Bibimbap,,4.9,5.5,1,,,,,,,,,,,
1,5,6,Beef Ramen,,4.5,5.5,1,,,,,,,,,,,
1,5,7,Kimchi Rmaen,,4.5,5,1,,,,,,,,,,,
1,5,8,Dumpling Ramen,,4.5,5,1,,,,,,,,,,,
1,5,9,Kimchi Soup,,4.9,5.5,1,,,,,,,,,,,
1,5,10,Fish Fillet Ramen,,4.5,5,1,,,,,,,,,,,
1,5,11,Fried Rice,,4.5,5,1,,,,,,,,,,,
1,5,12,Fry Ebi + Chicken Katsu Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,13,Chicken Katsu + Scallop Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,14,Fish Fillet + Chicken Katsu Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,15,Saba Fish + Chicken Katsu Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,16,Salmon Fish + Chicken Katsu Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,17,Salmon Fish + Prawn Ball Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,18,Fish Fillet + Fry Ebi Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,19,Chicken Katsu Set,,4.5,5,1,,,,,,,,,,,
1,5,20,Chicken Katsu Japanese Curry Rice,,4.9,5.5,1,,,,,,,,,,,
1,5,21,Chicken Katsu + Prawn Ball Bento,,4.9,5.5,1,,,,,,,,,,,
1,5,22,Fish Fillet Rice,,2.5,999,1,,,,,,,,,,,
1,5,23,Vegetable Ramen,,2.5,999,1,,,,,,,,,,,
1,7,1,Watermelon,,0.8,0.9,6,50,,,,,,,,,,
1,7,2,Papaya,,0.8,0.9,6,50,,,,,,,,,,
1,7,3,Pineapple,,0.8,0.9,6,50,,,,,,,,,,
1,7,4,Honeydew,,0.8,0.9,6,75,,,,,,,,,,
1,7,5,Rockmelon,,1,1.1,6,75,,,,,,,,,,
1,7,6,Orange (Peeled),,0.9,1,6,50,,,,,,,,,,
1,7,7,Apple (Sliced),,9,1,6,25,,,,,,,,,,
1,7,8,Apple (Whole),,1,1.1,6,75,,,,,,,,,,
1,7,9,Banana,,0.7,0.8,6,100,,,,,,,,,,
1,7,10,Banana (Large),,0.9,1,6,150,,,,,,,,,,
1,7,11,Guava,,1,1.1,6,50,,,,,,,,,,
1,7,12,Pear,,0.9,1,6,100,,,,,,,,,,
1,7,13,Kiwi,,1.2,1.3,6,50,,,,,,,,,,
1,7,14,Dragonfruit (White),,1,1.1,6,50,,,,,,,,,,
1,7,15,Dragonfruit (Red),,1,1.1,6,50,,,,,,,,,,
1,7,16,Agar Agar,,0.9,1,5,100,,,,,,,,,,
1,7,17,Mixed Fruit Cup,,1.8,2,6,100,,,,,,,,,,
1,7,18,ABC Fruit Juice,,2,2.2,4,48,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,19,Watermelon Juice,,1.6,1.8,4,55,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,20,Papaya Juice,,1.4,1.5,4,53,,,"{No Ice, Add Milk}",0.5,,,,,,
